Domain_ID,Domain_Name,Num_Domain_ID,Synonyms,Logical_Type_ID,Num_Logical_Type_ID,T_Size,T_Precision,T_Scale,Native_Type,LT_Name
97747AC4-2F3B-A948-FB89-3D6C844ECC71,"Approach For Prudential Purposes",1,"APPRCH_FR_PRDNTL_PRPSS",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
4C5C6DA6-F352-DA68-3066-9A084355A5F4,"Base",2,"BS",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
0C0CB380-50D3-FC6A-0B52-AC11D7B20657,"Boolean",3,,LOGDT006,40,,,,CHAR,Boolean,
674DA4DA-389E-A8EE-AE58-A91EA11BCF81,"Commodity type",4,,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
CE6CE2E4-41F9-32C8-4F4A-C8C8E6B52BCB,"Contingent Scenario",5,"CNTNGNT_SCNR",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
8777D069-1937-E11E-A414-E3DF0C1A9AEE,"CSR curve type",6,"CSR_CRV_TYP",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
61D993CB-3857-0254-82CE-4524A856851C,"Currency",7,,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
9D251A70-535F-1BCA-710F-2D0D5206F36E,"Delta Vega Or Curvature Risk",8,"DLT_VG_CVTR_RSK",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
99DE0662-BAB5-5473-EAD0-5714FAC4965C,"Economy",9,"ECNMY",LOGDT017,31,,,,UNKNOWN,unknown,
1427FBA3-05E0-CA88-F2BC-BC801DCE8AB8,"Equity factor type",10,"EQUTY_FCTR_TYP",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
A38EA317-F0EC-770D-9FFB-56136AA62106,"GIRR risk factor type",11,"GRR_RSK_FCTR_TYP",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
29BAC856-67BB-03AF-68AC-03A6A98312D7,"Instrument",12,"INSTRMNT",LOGDT017,31,,,,UNKNOWN,unknown,
E41BF2C1-36E3-6B32-D73A-8F8901FE5B50,"Main Catagory",13,"MN_CTGRY",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
7F63E47C-D3DB-4A93-6AC8-9AEB283E41DA,"Market cap",14,"MRKT_CP",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
6D2C1650-3392-02CC-49B6-6BEA2F9A33C6,"Market Risk Portfolio",15,"MRKT_RSK_PTFL",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
EF979509-4418-5FAC-812C-8FD0322FE1D6,"Number",16,,LOGDT019,64,,,,NUMBER,NUMERIC,
564D03C7-873B-54EE-7F1D-0C50A602590B,"Position In The Instrument",17,"PSTN_N_TH_NSTRMNT",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
AABB0481-A808-9720-89C2-53927BCC69E2,"Prudential Portfolio",18,"PRDNTL_PRTFL",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
EAE9AB06-8C26-B8CC-733E-02CAD25C9CC8,"Rating grade",19,"RTNG_GRD",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
27DE6432-B160-AF80-EE48-D0605ACFFB3B,"Risk factor type",20,"RSK_FCTR_TYP",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
4041534B-669E-8BBD-B449-AED36F6E4944,"Risk measure type",21,"RSK_MSR_TYP",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
C764DB9F-3245-FA18-0477-2FED20796BBA,"Sector",22,"SCTR",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
B11F7524-2D69-9CB2-DC3A-EFE9FFEFE6AD,"Securitisation sector",23,"SCRTSTN_SCTR",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
C1582D26-6C4D-DC4C-027A-545A166AF8A4,"ShockDirection",24,,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
78E25C16-8968-20B4-E330-DA4578EE46CF,"String",25,,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,156,,,VARCHAR2,String,
DE255868-CD2A-9BCD-B873-2F9D3FCE185D,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore",26,"STRNG_RSTRCTD_ID",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,VARCHAR2,String,
6FBEB348-B901-2CC5-03F9-29A90524DCDA,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",27,"STRNG_RSTRCTD_ID",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,VARCHAR2,String,
4FF302C1-0614-5DA2-2FCA-751807F17071,"Type And Nature Of Sensitivity",28,"TYP_NTR_SNSTVTY",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
A36A73C3-36F7-ADD1-855B-A11DFF6D85C8,"Type Of Risk",29,"TYP_F_RSK",A3A3C77D-0366-9768-FF89-1C25E56881C8,97,3,,,VARCHAR2,String,
DOM3000004,"Unknown",30,,LOGDT017,31,,,,UNKNOWN,unknown,
